primary_country	prefix_8	variants_in_group	primary_affiliation_name	additional_affiliations	additional_countries	multi_value	affiliation_value_count	country_value_count	award_record_count	award_record_ids
United States	carnegie	5	Carnegie Mellon University			no	1	1	10	kyoto_prize-000100,nobel-000211,nobel-000485,nobel-000762,turing_award-000001,turing_award-000010,turing_award-000011,turing_award-000035,turing_award-000052,wolf_prize-000267
United States	carnegie	5	Carnegie Observatories			no	1	1	1	crafoord-000016
United States	carnegie	5	Carnegie-Mellon University			no	1	1	1	wolf_prize-000136
United States	columbia	2	Columbia University			no	1	1	47	breakthrough-000114,crafoord-000042,crafoord-000058,fields-000036,gairdner_international_award-000002,gairdner_international_award-000004,gairdner_international_award-000011,gairdner_international_award-000180,gairdner_international_award-000270,gairdner_international_award-000272,gairdner_international_award-000318,gairdner_international_award-000378,gairdner_international_award-000379,kyoto_prize-000090,lasker_awards-000017,lasker_awards-000041,lasker_awards-000163,lasker_awards-000185,lasker_awards-000198,lasker_awards-000200,lasker_awards-000211,lasker_awards-000352,lasker_awards-000357,nobel-000162,nobel-000173,nobel-000217,nobel-000291,nobel-000295,nobel-000297,nobel-000306,nobel-000463,nobel-000667,nobel-000698,nobel-000701,nobel-000715,nobel-000725,nobel-000765,nobel-000785,nobel-000806,nobel-000913,nobel-000991,shaw_prize-000043,turing_award-000073,wolf_prize-000009,wolf_prize-000081,wolf_prize-000161,wolf_prize-000185
United States	columbia	2	Columbia University College of Physicians and Surgeons			no	1	1	3	lasker_awards-000027,lasker_awards-000066,lasker_awards-000253
United States	dana-far	2	Dana-Farber Cancer Institute			no	1	1	1	gairdner_international_award-000308
United States	dana-far	2	Dana-Farber Cancer Institute, Harvard Medical School			no	1	1	1	lasker_awards-000376
United States	digital 	2	Digital Equipment Corporation			no	1	1	1	turing_award-000031
United States	digital 	2	Digital Pathways, Inc.			no	1	1	1	nobel-000591
United States	harvard 	7	Harvard Medical School, Children’s Cancer Research Foundation			no	1	1	1	lasker_awards-000123
United States	harvard 	7	Harvard Medical School, Massachusetts General Hospital			no	1	1	1	lasker_awards-000333
United States	harvard 	7	Harvard Medical School	Beth Israel Hospital		yes	2	1	1	lasker_awards-000157
United States	harvard 	7	Harvard Medical School	Howard Hughes Medical Institute		yes	2	1	1	breakthrough-000127
United States	harvard 	7	Harvard Medical School	Weill Cornell Medical College		yes	2	1	1	breakthrough-000017
